   ;PAY;CNT;PAY_DATE
778;5713272,81;8841;16.02.2014
779;49513614,92;79808;17.02.2014
780;55886741,3;89702;18.02.2014
781;60560926,9;95691;19.02.2014
782;60350735,91;95572;20.02.2014
783;60213395,32;96068;21.02.2014
784;50980214,84;80626;22.02.2014
785;4618812,61;6780;23.02.2014
786;70821184,98;114714;24.02.2014
787;70623285,28;110564;25.02.2014
788;66445942,83;101694;26.02.2014
789;65120715,11;97497;27.02.2014
790;63664770,35;91363;28.02.2014
791;31732861,21;41581;01.03.2014
792;4639424,4;5776;02.03.2014
793;32008638,1;38326;03.03.2014
794;25295905,75;29054;04.03.2014
795;21945824,8;24514;05.03.2014
796;20224011,69;22029;06.03.2014
797;17319811,38;20127;07.03.2014
798;1059910,57;1235;08.03.2014
799;2331118,85;2779;09.03.2014
800;8659266,21;10536;10.03.2014
801;21266258,25;24139;11.03.2014
802;20140274,6;23026;12.03.2014
803;19924150,98;23599;13.03.2014
804;20489444,83;28464;14.03.2014
805;22582248,62;32930;15.03.2014
806;4799270,69;7505;16.03.2014
807;47080964,18;79587;17.03.2014
808;50289080,21;86090;18.03.2014
809;58059031,03;101460;19.03.2014
810;60733541,4;103782;20.03.2014
811;57241685,08;97136;21.03.2014
812;50120690,87;86047;22.03.2014
813;8012075,63;13370;23.03.2014
814;66139169,79;111692;24.03.2014
815;61086102,6;100474;25.03.2014
816;51680852,07;82337;26.03.2014
817;46059980,3;72855;27.03.2014
818;45007789,13;70222;28.03.2014
819;36092707,35;56912;29.03.2014
820;6338051,85;9843;30.03.2014
821;49665302,65;73850;31.03.2014
822;30098590,03;36763;01.04.2014
823;24264929,73;26796;02.04.2014
824;19942249,8;21999;03.04.2014
825;18413318,32;20125;04.04.2014
826;15702825,11;17187;05.04.2014
827;2694481,76;3027;06.04.2014
828;19357856,66;21148;07.04.2014
829;17839704,04;18865;08.04.2014
830;16810135,15;18677;09.04.2014
831;18037231,59;20379;10.04.2014
832;18958682,79;23006;11.04.2014
833;14735871,72;19526;12.04.2014
834;2898112,58;3742;13.04.2014
835;23749921,04;33218;14.04.2014
836;28803432,87;44818;15.04.2014
837;39039052,14;63700;16.04.2014
838;43109912,43;74006;17.04.2014
839;50240796,92;90455;18.04.2014
840;41005075,88;72250;19.04.2014
841;6713287,37;11533;20.04.2014
842;57579971,56;104688;21.04.2014
843;59140417,13;104545;22.04.2014
844;56023708,02;96815;23.04.2014
845;57401881,82;97520;24.04.2014
846;53132304,76;90450;25.04.2014
847;38472014,58;63700;26.04.2014
848;6587173,94;10700;27.04.2014
849;54936003,55;90388;28.04.2014
850;55478920,32;86951;29.04.2014
851;55348362,34;81175;30.04.2014
852;3196481,87;3776;01.05.2014
853;2197255,87;2704;02.05.2014
854;2322077,9;2842;03.05.2014
855;2148063,13;2668;04.05.2014
856;32725427,65;40059;05.05.2014
857;26420557,96;30547;06.05.2014
858;22466098,3;25939;07.05.2014
859;19650814,22;22903;08.05.2014
860;1482521,4;1623;09.05.2014
861;4893234,02;6089;10.05.2014
862;2407507,01;2948;11.05.2014
863;21549364,86;25171;12.05.2014
864;21528360,23;26375;13.05.2014
865;21376840,58;28231;14.05.2014
866;24372975,95;33554;15.05.2014
867;26912677,43;39797;16.05.2014
868;24434354,96;39934;17.05.2014
869;4996090,8;8868;18.05.2014
870;48121650,86;90436;19.05.2014
871;53057512,87;97397;20.05.2014
872;52495874,14;95632;21.05.2014
873;54604728,9;100565;22.05.2014
874;52339808,86;97150;23.05.2014
875;37167709,97;69879;24.05.2014
876;6816125,84;12544;25.05.2014
877;54990170,84;100885;26.05.2014
878;49002958,68;86826;27.05.2014
879;40781980,88;68914;28.05.2014
880;47819753,02;82327;29.05.2014
881;49589419,12;82864;30.05.2014
882;33299320,67;54061;31.05.2014
883;3898638,26;5122;01.06.2014
884;28651409,35;38047;02.06.2014
885;23521734,07;30502;03.06.2014
886;20410712,56;24598;04.06.2014
887;18885710,02;22265;05.06.2014
888;17311146,1;20448;06.06.2014
889;11388951,4;13984;07.06.2014
890;1934454,74;2296;08.06.2014
891;18179135,93;22094;09.06.2014
892;18908357,71;22360;10.06.2014
893;20935566,53;26184;11.06.2014
894;2237352,67;2703;12.06.2014
895;9349714,62;16064;13.06.2014
896;11931651,4;21927;14.06.2014
897;5282091,02;9761;15.06.2014
898;45788433,67;87278;16.06.2014
899;52414645,58;98708;17.06.2014
900;52438090,75;99472;18.06.2014
901;50146083,98;94534;19.06.2014
902;51316783,09;95490;20.06.2014
903;39836909,07;73672;21.06.2014
904;4538160,28;8132;22.06.2014
905;48422611,67;91906;23.06.2014
906;46491553,69;86057;24.06.2014
907;46581824,36;82913;25.06.2014
908;45695852,69;78321;26.06.2014
909;43464649,41;75747;27.06.2014
910;34163626,89;58795;28.06.2014
911;5084004,98;8354;29.06.2014
912;54310174,94;88174;30.06.2014
913;34465104,41;46008;01.07.2014
914;25871985,02;32851;02.07.2014
915;21250726,42;26367;03.07.2014
916;17553994,15;21283;04.07.2014
917;13845568,09;16867;05.07.2014
918;1990944,44;2526;06.07.2014
919;17588697,17;21424;07.07.2014
920;17133193,05;20024;08.07.2014
921;15031991,19;18846;09.07.2014
922;17549846,78;21931;10.07.2014
923;17528913,04;23028;11.07.2014
924;12424723,43;17416;12.07.2014
925;2006250,15;2789;13.07.2014
926;24199425,05;38986;14.07.2014
927;29692998,63;52366;15.07.2014
928;36766931,33;64522;16.07.2014
929;43203146,64;82661;17.07.2014
930;44670130,91;86980;18.07.2014
931;33812134,78;66818;19.07.2014
932;5948666,5;11108;20.07.2014
933;50704662,67;99875;21.07.2014
934;48230130,91;91891;22.07.2014
935;44117938,12;81978;23.07.2014
936;41047638,03;76012;24.07.2014
937;37884834,24;69466;25.07.2014
938;22457283,43;41953;26.07.2014
939;3145879,83;5659;27.07.2014
940;39882376,88;72362;28.07.2014
941;37779739,94;67822;29.07.2014
942;36979817,11;65387;30.07.2014
943;34212967,59;56791;31.07.2014
944;22178203,43;31051;01.08.2014
945;12868529,62;17510;02.08.2014
946;2653565,98;3564;03.08.2014
947;20539980,36;27130;04.08.2014
948;19504155,91;24523;05.08.2014
949;17747421,09;21495;06.08.2014
950;15429615,91;18174;07.08.2014
951;14385040,22;17459;08.08.2014
952;10706374,07;13966;09.08.2014
953;2012878,01;2803;10.08.2014
954;17584873,52;21984;11.08.2014
955;17870528,72;22574;12.08.2014
956;17576960,57;25729;13.08.2014
957;21495640,3;35213;14.08.2014
958;27675628,38;49847;15.08.2014
959;24313885,47;46588;16.08.2014
960;4416293,35;7788;17.08.2014
961;46249749,06;96962;18.08.2014
962;47819832,01;97389;19.08.2014
963;50412315,76;102250;20.08.2014
964;46051064,81;90625;21.08.2014
965;40317952,29;80649;22.08.2014
966;31808546,4;63693;23.08.2014
967;4779400,32;9113;24.08.2014
968;45336694,06;91470;25.08.2014
969;40613862,57;78042;26.08.2014
970;37882104,46;70189;27.08.2014
971;37063536,51;68637;28.08.2014
972;35968745,3;66641;29.08.2014
973;28717782,38;52701;30.08.2014
974;3887976,07;7134;31.08.2014
975;29221655,07;43835;01.09.2014
976;23332833,02;32130;02.09.2014
977;19875898,21;25957;03.09.2014
978;17122245,83;21979;04.09.2014
979;16531324,54;20602;05.09.2014
980;11600255,31;15163;06.09.2014
981;1668245,18;2147;07.09.2014
982;17211469,02;21138;08.09.2014
983;16267302,93;20460;09.09.2014
984;16476797,14;20527;10.09.2014
985;16467047,87;20445;11.09.2014
986;15760775,17;20673;12.09.2014
987;12389316,31;17655;13.09.2014
988;1604714,49;2336;14.09.2014
989;26995509,89;46535;15.09.2014
990;33437029,65;60487;16.09.2014
991;36401502,69;70031;17.09.2014
992;39990288,07;79628;18.09.2014
993;41837828,04;86296;19.09.2014
994;34455752,4;69834;20.09.2014
995;5444029,07;10590;21.09.2014
996;46813984,15;97861;22.09.2014
997;41178622,62;83557;23.09.2014
998;46110336,98;95413;24.09.2014
999;44135363,4;88613;25.09.2014
1000;39783161,09;78003;26.09.2014
1001;30478000,64;59026;27.09.2014
1002;6279552,73;11135;28.09.2014
1003;49810392,84;97042;29.09.2014
1004;48144351,2;87492;30.09.2014
1005;31077666,18;45552;01.10.2014
1006;23763082,02;32290;02.10.2014
1007;19687845,55;26592;03.10.2014
1008;15335325,66;19982;04.10.2014
1009;3063385,01;4038;05.10.2014
1010;20767566,95;26580;06.10.2014
1011;19285131,52;23522;07.10.2014
1012;16868623,71;20196;08.10.2014
1013;16858632,53;20426;09.10.2014
1014;15321827,28;19162;10.10.2014
1015;14144357,08;17789;11.10.2014
1016;4805772,86;6170;12.10.2014
1017;19044261,79;24303;13.10.2014
1018;19692826,22;27689;14.10.2014
1019;27089911,07;41503;15.10.2014
1020;32419129,59;53806;16.10.2014
1021;38605354,55;69272;17.10.2014
1022;37674859,04;67362;18.10.2014
1023;8174674,22;14133;19.10.2014
1024;55800090,66;105800;20.10.2014
1025;57472701,74;106908;21.10.2014
1026;57116580,93;104078;22.10.2014
1027;52801761,09;94723;23.10.2014
1028;47336412,45;85214;24.10.2014
1029;45139184,51;79559;25.10.2014
1030;8249116,72;13532;26.10.2014
1031;50115921,86;85850;27.10.2014
1032;44799956,05;73942;28.10.2014
1033;42168250,09;70049;29.10.2014
1034;40296749,03;65083;30.10.2014
1035;41910133,8;62897;31.10.2014
1036;21416786,02;27506;01.11.2014
1037;4027037,46;5145;02.11.2014
1038;7228435,29;9456;03.11.2014
1039;1883384,15;2228;04.11.2014
1040;28609042,54;34080;05.11.2014
1041;21966557,57;25101;06.11.2014
1042;20196794,92;23069;07.11.2014
1043;16111439,71;19189;08.11.2014
1044;3717265,44;4422;09.11.2014
1045;22265702,33;25766;10.11.2014
1046;18943566,04;20913;11.11.2014
1047;20047040,25;23391;12.11.2014
1048;21186375,74;27964;13.11.2014
1049;26763622,22;39232;14.11.2014
1050;29062100,66;45513;15.11.2014
1051;8128869,04;12595;16.11.2014
1052;49645930,84;87034;17.11.2014
1053;51754693,39;91019;18.11.2014
1054;56328230,35;96321;19.11.2014
1055;57763837,39;99474;20.11.2014
1056;51624400,36;90000;21.11.2014
1057;50116086,95;85075;22.11.2014
1058;10571487,32;17117;23.11.2014
1059;59506732,21;103017;24.11.2014
1060;56014819,83;92583;25.11.2014
1061;56678106,63;89854;26.11.2014
1062;46785610,95;73657;27.11.2014
1063;48739946,87;75156;28.11.2014
1064;50382715,8;76024;29.11.2014
1065;10740762,27;16068;30.11.2014
1066;36547601,69;45975;01.12.2014
1067;27077978,38;32447;02.12.2014
1068;23671601,24;26193;03.12.2014
1069;19742266,34;21703;04.12.2014
1070;19132714,43;21093;05.12.2014
1071;16338131,85;18462;06.12.2014
1072;3483749,55;4032;07.12.2014
1073;21191596,01;22049;08.12.2014
1074;18959569,8;20405;09.12.2014
1075;19798596,8;21312;10.12.2014
1076;19076841,43;20625;11.12.2014
1077;20456175,5;24401;12.12.2014
1078;19490344,14;25239;13.12.2014
1079;7048453,03;9870;14.12.2014
1080;41298146,26;66402;15.12.2014
1081;49126352,93;80869;16.12.2014
1082;52437997,62;87400;17.12.2014
1083;55897696,58;92615;18.12.2014
1084;60119261,57;101545;19.12.2014
1085;56044632,99;92293;20.12.2014
1086;13000432,31;20982;21.12.2014
1087;69465957,68;114715;22.12.2014
1088;64807763,76;105876;23.12.2014
1089;62107597,94;98102;24.12.2014
1090;55567647,52;84928;25.12.2014
1091;53361463,64;77851;26.12.2014
1092;48820788,47;69504;27.12.2014
1093;16188207,6;20972;28.12.2014
1094;62131130,25;82568;29.12.2014
1095;62133994,15;75668;30.12.2014
1096;9643326,11;12191;31.12.2014
1097;882751,33;908;01.01.2015
1098;977552,75;1019;02.01.2015
1099;1053640,4;1108;03.01.2015
1100;840189,81;862;04.01.2015
1101;8110103,4;10584;05.01.2015
1102;2559462,55;3161;06.01.2015
1103;1131348,97;1418;07.01.2015
1104;1983340,48;2588;08.01.2015
1105;19010725,85;21943;09.01.2015
1106;11154574,57;13209;10.01.2015
1107;3847763,75;4432;11.01.2015
1108;27265284,21;29931;12.01.2015
1109;22085198,22;23845;13.01.2015
1110;22639642,02;27571;14.01.2015
1111;31449802,94;43854;15.01.2015
1112;38800204,31;61386;16.01.2015
1113;38811738,81;63327;17.01.2015
1114;8580407,42;13451;18.01.2015
1115;65776285,24;110496;19.01.2015
1116;70157826,4;117435;20.01.2015
1117;65535163,97;107093;21.01.2015
1118;61016091,02;98442;22.01.2015
1119;63483339,79;104024;23.01.2015
1120;56044031,13;91701;24.01.2015
1121;12362040,57;19788;25.01.2015
1122;59549332,37;94255;26.01.2015
1123;57501056,31;87849;27.01.2015
1124;49095211,82;72937;28.01.2015
1125;44911461,09;64910;29.01.2015
1126;44904632,34;63076;30.01.2015
1127;37431764,96;51285;31.01.2015
1128;6572129,11;7620;01.02.2015
1129;31995276,18;36742;02.02.2015
1130;24775150,42;26220;03.02.2015
1131;19563582,56;20647;04.02.2015
1132;21066516,88;21710;05.02.2015
1133;17518031,67;18188;06.02.2015
1134;15046533,17;16437;07.02.2015
1135;3680620,21;4218;08.02.2015
1136;19093382,09;21075;09.02.2015
1137;19193766,82;20804;10.02.2015
1138;19764643,62;20964;11.02.2015
1139;17840059,44;20609;12.02.2015
1140;19812014,29;24661;13.02.2015
1141;19352485,94;25250;14.02.2015
1142;5558280,99;7427;15.02.2015
1143;37099838,04;55134;16.02.2015
1144;47751334,56;74660;17.02.2015
1145;51953521,52;82728;18.02.2015
1146;62959623,89;100606;19.02.2015
1147;59383892,04;96282;20.02.2015
1148;52675847,02;83923;21.02.2015
1149;9002252,03;14365;22.02.2015
1150;12938707,8;20315;23.02.2015
1151;74293866,41;121932;24.02.2015
1152;72943832,64;114529;25.02.2015
1153;79945141,86;121038;26.02.2015
1154;77721608,18;115431;27.02.2015
1155;64014641,9;92322;28.02.2015
1156;14266285,23;19012;01.03.2015
1157;46280400,31;58327;02.03.2015
1158;33588370,29;40341;03.03.2015
1159;28251198,36;31952;04.03.2015
1160;23562781,6;27640;05.03.2015
1161;20101621,27;23340;06.03.2015
1162;14579849,31;16992;07.03.2015
1163;2835230,05;3350;08.03.2015
1164;6056396,49;6975;09.03.2015
1165;24183523,08;27988;10.03.2015
1166;20869445,84;23899;11.03.2015
1167;24553819,03;31353;12.03.2015
1168;26923419,52;38382;13.03.2015
1169;26090141,04;39551;14.03.2015
1170;10190065,26;15183;15.03.2015
1171;50779133,48;84941;16.03.2015
1172;55208151,21;92666;17.03.2015
1173;57490672,15;97056;18.03.2015
1174;57333803,43;96810;19.03.2015
1175;62143455,25;105603;20.03.2015
1176;49354719,05;82855;21.03.2015
1177;11236543,44;18517;22.03.2015
1178;58151406,05;98164;23.03.2015
1179;58003308,29;96546;24.03.2015
1180;56152690,72;90676;25.03.2015
1181;44337737,42;70022;26.03.2015
1182;39847419,48;62359;27.03.2015
1183;32283636,67;50596;28.03.2015
1184;9064235,83;14106;29.03.2015
1185;48337371,23;74029;30.03.2015
1186;43266857,64;61717;31.03.2015
1187;29963552,35;35773;01.04.2015
1188;22734277,95;25813;02.04.2015
1189;20939916,08;23402;03.04.2015
1190;16173452,13;18714;04.04.2015
1191;4264348,6;5327;05.04.2015
1192;21287743,58;22761;06.04.2015
1193;18124375,69;19452;07.04.2015
1194;17258049,29;18687;08.04.2015
1195;15638871,14;17634;09.04.2015
1196;20774870,41;26429;10.04.2015
1197;16677048,15;22262;11.04.2015
1198;3550326,02;4718;12.04.2015
1199;27079961,95;41013;13.04.2015
1200;31525895,61;51632;14.04.2015
1201;42645829,29;72723;15.04.2015
1202;47443377,57;83321;16.04.2015
1203;53066376,03;97583;17.04.2015
1204;45729653,7;83366;18.04.2015
1205;10144229,31;17401;19.04.2015
1206;61166179,22;111414;20.04.2015
1207;56926219,65;99975;21.04.2015
1208;50687839,89;88117;22.04.2015
1209;45200589,63;77388;23.04.2015
1210;50608667,58;87559;24.04.2015
1211;37733971,12;64816;25.04.2015
1212;7831899,02;12942;26.04.2015
1213;48300317,29;80284;27.04.2015
1214;43077055,77;69116;28.04.2015
1215;44669944,06;69576;29.04.2015
1216;52043432,7;74831;30.04.2015
1217;4031045,37;4637;01.05.2015
1218;2861300,01;3457;02.05.2015
1219;3078412,91;3834;03.05.2015
1220;9519329,39;11799;04.05.2015
1221;26943467,87;32567;05.05.2015
1222;22333827,34;26239;06.05.2015
1223;20181343,06;23368;07.05.2015
1224;18705446,62;21676;08.05.2015
1225;1058324,62;1309;09.05.2015
1226;2342072,73;2872;10.05.2015
1227;7031498,56;8338;11.05.2015
1228;22068581,88;25583;12.05.2015
1229;22335063,33;28882;13.05.2015
1230;27952560,21;41348;14.05.2015
1231;38352052,91;65688;15.05.2015
1232;33761744,33;61413;16.05.2015
1233;9181602,54;15922;17.05.2015
1234;57974332,5;110471;18.05.2015
1235;60304966,06;113846;19.05.2015
1236;62460957,03;114706;20.05.2015
1237;57101657,19;101854;21.05.2015
1238;54313872,93;97287;22.05.2015
1239;38642384,91;69220;23.05.2015
1240;8937429,45;15820;24.05.2015
1241;55842672,29;99236;25.05.2015
1242;47788412,52;80431;26.05.2015
1243;43490194,29;71308;27.05.2015
1244;42044746,47;67048;28.05.2015
1245;44161214,46;68697;29.05.2015
1246;30666826,77;49181;30.05.2015
1247;9300503,08;14196;31.05.2015
1248;29229959,92;37834;01.06.2015
1249;23262919,22;28428;02.06.2015
1250;20051984,27;23339;03.06.2015
1251;18305542,64;21630;04.06.2015
1252;18407651,42;21294;05.06.2015
1253;11693390,88;13997;06.06.2015
1254;2683443,2;3350;07.06.2015
1255;17067117,18;20356;08.06.2015
1256;17859465,3;20367;09.06.2015
1257;18082628,67;21739;10.06.2015
1258;20453213,45;25768;11.06.2015
1259;3551029,98;4720;12.06.2015
1260;10181429,7;17024;13.06.2015
1261;4194103,87;6587;14.06.2015
1262;39244016,33;67438;15.06.2015
1263;47573894,39;88200;16.06.2015
1264;53214381,8;100249;17.06.2015
1265;53650965,73;102440;18.06.2015
1266;52488422,41;101057;19.06.2015
1267;39458219,05;74463;20.06.2015
1268;8376335,65;15319;21.06.2015
1269;54387835,9;102023;22.06.2015
1270;51658108,08;94175;23.06.2015
1271;48298592,58;87912;24.06.2015
1272;47044700,82;81473;25.06.2015
1273;39595447,89;66820;26.06.2015
1274;28264760,38;49005;27.06.2015
1275;6001463,6;10053;28.06.2015
1276;49748849,22;82972;29.06.2015
1277;53777587,96;79284;30.06.2015
1278;33083116,05;39939;01.07.2015
1279;25621585,27;29946;02.07.2015
1280;20273899,51;24192;03.07.2015
1281;12499042,62;15658;04.07.2015
1282;3514009,91;4620;05.07.2015
1283;20600589,06;24025;06.07.2015
1284;16168227,29;18404;07.07.2015
1285;18659786,33;20631;08.07.2015
1286;17190548,83;19845;09.07.2015
1287;16590006,58;19884;10.07.2015
1288;12384387,46;15928;11.07.2015
1289;3243558,09;4271;12.07.2015
1290;20071009,48;28313;13.07.2015
1291;26987319,14;42731;14.07.2015
1292;34627614,55;62569;15.07.2015
1293;40636254,88;77884;16.07.2015
1294;39380129,64;78119;17.07.2015
1295;35123255,25;71459;18.07.2015
1296;7573902,41;13922;19.07.2015
1297;53764904,69;111619;20.07.2015
1298;53123350,97;105865;21.07.2015
1299;45487818,9;89435;22.07.2015
1300;44061554,52;84902;23.07.2015
1301;41583389,26;79852;24.07.2015
1302;28132592,19;54975;25.07.2015
1303;5370345,38;9787;26.07.2015
1304;40643537,01;75620;27.07.2015
1305;37350905,85;66783;28.07.2015
1306;32574139,29;57307;29.07.2015
1307;31444589,16;54862;30.07.2015
1308;32250036,4;52691;31.07.2015
1309;16975449,5;23590;01.08.2015
1310;4092728,57;5838;02.08.2015
1311;22821708,76;29654;03.08.2015
1312;18896094,62;24325;04.08.2015
1313;17415155,92;21117;05.08.2015
1314;16140070,13;19480;06.08.2015
1315;15158364,91;18549;07.08.2015
1316;10002437,33;12988;08.08.2015
1317;2753244,45;3808;09.08.2015
1318;18880414,86;25486;10.08.2015
1319;20014055,76;26703;11.08.2015
1320;21301443,2;33543;12.08.2015
1321;25563429,3;44487;13.08.2015
1322;30836775,62;57273;14.08.2015
1323;24891662,79;48155;15.08.2015
1324;6174917,39;10860;16.08.2015
1325;48353405;97709;17.08.2015
1326;47860442,11;96474;18.08.2015
1327;46887789,59;93956;19.08.2015
1328;47153944,46;93859;20.08.2015
1329;41756279,18;80829;21.08.2015
1330;28351810,92;55987;22.08.2015
1331;6481234,85;11901;23.08.2015
1332;46420224,58;94276;24.08.2015
1333;46307274,03;88379;25.08.2015
1334;37653156,02;68565;26.08.2015
1335;35390565,79;64055;27.08.2015
1336;29855477,82;52443;28.08.2015
1337;28286856,6;51118;29.08.2015
1338;6576177,37;11306;30.08.2015
1339;44691987,22;76838;31.08.2015
1340;25756161,93;34859;01.09.2015
1341;21845636,9;27783;02.09.2015
1342;18291211,94;22312;03.09.2015
1343;17308850,37;20452;04.09.2015
1344;12621037,59;15630;05.09.2015
1345;2992192,27;3580;06.09.2015
1346;18005140,48;21589;07.09.2015
1347;16772347,65;19642;08.09.2015
1348;17491504,82;20881;09.09.2015
1349;18103498,6;21924;10.09.2015
1350;17424456,3;23982;11.09.2015
1351;13806193,56;20136;12.09.2015
1352;3549129,55;5356;13.09.2015
1353;29852829,14;50131;14.09.2015
1354;36448520,65;66757;15.09.2015
1355;37526058,19;71375;16.09.2015
1356;45641777,49;89446;17.09.2015
1357;46653591,9;92621;18.09.2015
1358;38723431,49;76207;19.09.2015
1359;9561809,92;18246;20.09.2015
1360;50361984,21;102582;21.09.2015
1361;49842214,34;98527;22.09.2015
1362;46026238,33;87874;23.09.2015
1363;43315364,51;82642;24.09.2015
1364;41297246,18;75542;25.09.2015
1365;28426039,97;51581;26.09.2015
1366;6501196,85;11525;27.09.2015
1367;42504612,4;78427;28.09.2015
1368;45603546,06;80442;29.09.2015
1369;45666433,22;74953;30.09.2015
1370;26285607,3;32831;01.10.2015
1371;23402052,02;27794;02.10.2015
1372;15861186,52;19851;03.10.2015
1373;4151828,98;5182;04.10.2015
1374;22435894,23;26016;05.10.2015
1375;19730613,23;23098;06.10.2015
1376;17966876,48;20648;07.10.2015
1377;16797045,34;18964;08.10.2015
1378;17757386,07;20614;09.10.2015
1379;16380537,5;19969;10.10.2015
1380;5258333,56;6385;11.10.2015
1381;20335456,91;24138;12.10.2015
1382;20377136,11;25567;13.10.2015
1383;24312523,59;36192;14.10.2015
1384;33268600,06;55616;15.10.2015
1385;39628919,48;71689;16.10.2015
1386;37007173,61;66581;17.10.2015
1387;10172534,65;17481;18.10.2015
1388;58705936,44;115132;19.10.2015
1389;62088142,92;117659;20.10.2015
1390;57968870,16;106492;21.10.2015
1391;51526290,88;92655;22.10.2015
1392;47409056,11;84779;23.10.2015
1393;44264126,08;78806;24.10.2015
1394;11759946,67;20502;25.10.2015
1395;51104553,38;87929;26.10.2015
1396;43437856,21;73207;27.10.2015
1397;40841041,16;68582;28.10.2015
1398;37191148,42;60133;29.10.2015
1399;40430641,46;63711;30.10.2015
1400;30809053,85;47397;31.10.2015
1401;6817887,31;8656;01.11.2015
1402;26441690,57;32085;02.11.2015
1403;23092525,42;26662;03.11.2015
1404;4470282,11;5215;04.11.2015
1405;22594087,89;25113;05.11.2015
1406;19761976,39;21840;06.11.2015
1407;14395787,04;16253;07.11.2015
1408;4122405,04;4821;08.11.2015
1409;22553382,27;24988;09.11.2015
1410;21416191,71;23592;10.11.2015
1411;21920282,4;23881;11.11.2015
1412;23847535,31;29982;12.11.2015
1413;27288324,41;36669;13.11.2015
1414;22620479,83;29969;14.11.2015
1415;7460180,11;10351;15.11.2015
1416;38755454,08;58993;16.11.2015
1417;45116143,4;72069;17.11.2015
1418;52180298,73;85132;18.11.2015
1419;56946829,66;95266;19.11.2015
1420;61186396,73;103177;20.11.2015
1421;49885265,59;82816;21.11.2015
1422;11833984,34;19062;22.11.2015
1423;67259563,99;113248;23.11.2015
1424;66141551,42;108576;24.11.2015
1425;59610403,87;95054;25.11.2015
1426;50640105,52;78945;26.11.2015
1427;48097746,12;73621;27.11.2015
1428;45687961,19;69610;28.11.2015
1429;12672899,87;18874;29.11.2015
1430;67746524,99;97299;30.11.2015
1431;34330342,79;41137;01.12.2015
1432;28391286,01;31786;02.12.2015
1433;21581850,84;23334;03.12.2015
1434;21973088,28;23499;04.12.2015
1435;18110541,97;19899;05.12.2015
1436;5169217,01;5552;06.12.2015
1437;22223670,71;23507;07.12.2015
1438;20676396,44;21571;08.12.2015
1439;19335326,9;20406;09.12.2015
1440;24454886,38;25974;10.12.2015
1441;27911399,3;32991;11.12.2015
1442;22988960,94;29437;12.12.2015
1443;6851553,42;8635;13.12.2015
1444;40168947,59;54704;14.12.2015
1445;50791083,69;73383;15.12.2015
1446;56275200,44;83234;16.12.2015
1447;61832907,41;92051;17.12.2015
1448;67493904,79;104130;18.12.2015
1449;60314608,02;92728;19.12.2015
1450;23138466,59;35050;20.12.2015
1451;78403137,7;117007;21.12.2015
1452;73461393,51;106751;22.12.2015
1453;67355263,62;97678;23.12.2015
1454;66193164,4;93002;24.12.2015
1455;63474097,89;86951;25.12.2015
1456;51117948,58;67602;26.12.2015
1457;18147561,95;24597;27.12.2015
1458;62822128,89;83662;28.12.2015
1459;59561289,75;74391;29.12.2015
1460;62100531,26;72500;30.12.2015
1461;14466195,3;17113;31.12.2015
1462;1834691,4;2206;01.01.2016
1463;2700173,23;3169;02.01.2016
1464;2366557,17;2623;03.01.2016
1465;3803522,06;4256;04.01.2016
1466;3673186,35;4591;05.01.2016
1467;2937927,21;3440;06.01.2016
1468;2748953,85;3311;07.01.2016
1469;3142980,83;3661;08.01.2016
1470;19222703;21568;09.01.2016
1471;5764167,4;6787;10.01.2016
1472;31064855,52;31589;11.01.2016
1473;26714310,44;28830;12.01.2016
1474;30848033,4;37835;13.01.2016
1475;37315954,1;50432;14.01.2016
1476;50302402,35;75617;15.01.2016
1477;47842597,83;74235;16.01.2016
1478;13749640,78;20676;17.01.2016
1479;70860027,82;113540;18.01.2016
1480;70654310,56;113112;19.01.2016
1481;74561098,91;116899;20.01.2016
1482;67888390,03;105105;21.01.2016
1483;61810398,54;95123;22.01.2016
1484;52661453,67;81237;23.01.2016
1485;14295309,15;21765;24.01.2016
1486;67077530,37;100316;25.01.2016
1487;53585900,82;76339;26.01.2016
1488;46829249,93;65986;27.01.2016
1489;44742164,5;62214;28.01.2016
1490;49053156,19;66834;29.01.2016
1491;46192844,51;63626;30.01.2016
1492;13106872,64;17643;31.01.2016
1493;34081989,69;37068;01.02.2016
1494;25186227,69;25332;02.02.2016
1495;23213404,26;22730;03.02.2016
1496;19711905,68;18873;04.02.2016
1497;19535593,58;19297;05.02.2016
1498;16469765,74;16249;06.02.2016
1499;4946316,74;5149;07.02.2016
1500;20963824,08;20545;08.02.2016
1501;20715755,88;20367;09.02.2016
1502;21700583,43;22298;10.02.2016
1503;24272733,71;26715;11.02.2016
1504;31095005,75;40481;12.02.2016
1505;35793822,83;48815;13.02.2016
1506;11788850,52;15560;14.02.2016
1507;64322983,34;94176;15.02.2016
1508;70432422,34;102160;16.02.2016
1509;69570138,56;101178;17.02.2016
1510;70676647,16;101955;18.02.2016
1511;71085010,29;102329;19.02.2016
1512;70837951,14;102068;20.02.2016
1513;16458964,32;23000;21.02.2016
1514;26845953,73;37818;22.02.2016
1515;8670933,26;11554;23.02.2016
1516;81158798,04;114861;24.02.2016
1517;77593305,07;105831;25.02.2016
1518;68353584,2;90800;26.02.2016
1519;56701633,2;75727;27.02.2016
1520;15932268,16;20994;28.02.2016
1521;78369364,84;98351;29.02.2016
1522;37763894,04;41390;01.03.2016
1523;27006229,94;28402;02.03.2016
1524;21198518,99;21907;03.03.2016
1525;22185057,93;22868;04.03.2016
