   ;PAY;CNT;PAY_DATE
179;27921413,83;37046;27.06.2012
180;29847360,08;38604;28.06.2012
181;37025683,6;45442;29.06.2012
182;40279824,97;47169;30.06.2012
183;834572,48;1117;01.07.2012
184;25665437,66;34687;02.07.2012
185;23249900,52;29241;03.07.2012
186;19943881,56;24493;04.07.2012
187;17546727,27;21478;05.07.2012
188;16349488,4;20070;06.07.2012
189;11110200,53;13392;07.07.2012
190;407766,32;516;08.07.2012
191;18136946,09;23719;09.07.2012
192;18522843,28;24910;10.07.2012
193;19385713,94;29230;11.07.2012
194;20616012,25;34747;12.07.2012
195;20166933,61;36700;13.07.2012
196;19535173,63;36070;14.07.2012
197;858045,53;1528;15.07.2012
198;27359314,18;54404;16.07.2012
199;29603310,39;58709;17.07.2012
200;29144684,49;56185;18.07.2012
201;27961815,56;54406;19.07.2012
202;25794711,37;48489;20.07.2012
203;17217273,64;30772;21.07.2012
204;634356,84;1200;22.07.2012
205;22677556,17;42630;23.07.2012
206;21688049,3;38586;24.07.2012
207;21551390,92;37429;25.07.2012
208;20056422,34;31911;26.07.2012
209;17536289,63;28090;27.07.2012
210;11953960,87;20212;28.07.2012
211;471985,52;812;29.07.2012
212;19825760,34;34978;30.07.2012
213;22580327,02;37692;31.07.2012
214;18675985,96;27088;01.08.2012
215;18677077,29;25888;02.08.2012
216;15401448,31;21936;03.08.2012
217;10712799,33;14939;04.08.2012
218;518532,93;703;05.08.2012
219;17677099,89;25077;06.08.2012
220;14323934,8;19188;07.08.2012
221;14569207,37;19148;08.08.2012
222;16637887;24128;09.08.2012
223;17354793,64;27745;10.08.2012
224;15723442,71;25686;11.08.2012
225;610540,88;1074;12.08.2012
226;23577274,06;42992;13.08.2012
227;23502152,93;43421;14.08.2012
228;24722556,73;47172;15.08.2012
229;26517731,17;53064;16.08.2012
230;28089897,56;58064;17.08.2012
231;21839085,38;44335;18.08.2012
232;913257,66;1574;19.08.2012
233;27554869,36;57874;20.08.2012
234;26247853,45;49121;21.08.2012
235;22853214,56;41708;22.08.2012
236;16873436,83;30732;23.08.2012
237;20761063,74;38905;24.08.2012
238;15512869,42;27896;25.08.2012
239;705149,62;1152;26.08.2012
240;21617157,04;37587;27.08.2012
241;20278262,32;34238;28.08.2012
242;18962829,53;29952;29.08.2012
243;20271086,26;32082;30.08.2012
244;23821045,75;35755;31.08.2012
245;14962735,09;20608;01.09.2012
246;592104,21;751;02.09.2012
247;20087973,81;27445;03.09.2012
248;19403892,16;24993;04.09.2012
249;16849390,16;20865;05.09.2012
250;16454721,09;19550;06.09.2012
251;13506282,13;16066;07.09.2012
252;13568901,46;16553;08.09.2012
253;642365,41;780;09.09.2012
254;18939172,35;24434;10.09.2012
255;17358419,39;21804;11.09.2012
256;17039163,79;20537;12.09.2012
257;16058879,31;19470;13.09.2012
258;16830203,77;23298;14.09.2012
259;16579934,77;24983;15.09.2012
260;769131,58;1112;16.09.2012
261;24880384,97;46072;17.09.2012
262;28780907,1;59875;18.09.2012
263;30780443,25;65534;19.09.2012
264;32897437,89;67328;20.09.2012
265;30567016,22;59747;21.09.2012
266;25440292,1;47897;22.09.2012
267;991062,98;1747;23.09.2012
268;30134211,31;61575;24.09.2012
269;28730525,11;54539;25.09.2012
270;27786775,93;48988;26.09.2012
271;26186085,52;46096;27.09.2012
272;25774255,22;45650;28.09.2012
273;23043031,22;39567;29.09.2012
274;1237809,45;1828;30.09.2012
275;30828929,45;43657;01.10.2012
276;24811132,97;31444;02.10.2012
277;21103014,84;25564;03.10.2012
278;17843639,08;20768;04.10.2012
279;16045363,45;19161;05.10.2012
280;14501931,73;16104;06.10.2012
